timestamp,pod_name,status,ready,reason,restarts,age
2025-06-15 23:23:33,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,9m57s
2025-06-15 23:23:33,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,6m57s
2025-06-15 23:23:33,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,85s
2025-06-15 23:23:33,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m27s
2025-06-15 23:23:33,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,27s
2025-06-15 23:23:33,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,10m
2025-06-15 23:23:33,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,116s
2025-06-15 23:23:33,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m27s
2025-06-15 23:23:33,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m27s
2025-06-15 23:23:33,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m27s
2025-06-15 23:23:33,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,7m57s
2025-06-15 23:23:33,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,2m56s
2025-06-15 23:23:33,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m27s
2025-06-15 23:23:33,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,56s
2025-06-15 23:23:33,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,8m57s
2025-06-15 23:23:33,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,4m57s
2025-06-15 23:23:33,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,5m57s
2025-06-15 23:23:33,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m27s
2025-06-15 23:23:33,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m27s
2025-06-15 23:23:33,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:23:38,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m2s
2025-06-15 23:23:38,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m32s
2025-06-15 23:23:38,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:23:38,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m2s
2025-06-15 23:23:38,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,90s
2025-06-15 23:23:38,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m32s
2025-06-15 23:23:38,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,32s
2025-06-15 23:23:38,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:23:38,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m1s
2025-06-15 23:23:38,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m32s
2025-06-15 23:23:38,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m32s
2025-06-15 23:23:38,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m32s
2025-06-15 23:23:38,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m2s
2025-06-15 23:23:38,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m1s
2025-06-15 23:23:38,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m32s
2025-06-15 23:23:38,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,61s
2025-06-15 23:23:38,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m2s
2025-06-15 23:23:38,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m2s
2025-06-15 23:23:38,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m2s
2025-06-15 23:23:38,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m32s
2025-06-15 23:23:38,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m32s
2025-06-15 23:23:38,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:23:44,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m8s
2025-06-15 23:23:44,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m38s
2025-06-15 23:23:44,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:23:44,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m8s
2025-06-15 23:23:44,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,96s
2025-06-15 23:23:44,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m38s
2025-06-15 23:23:44,browser-sandbox-browser-5c3030d0-20250615175342,Init:0/1,0/1,,0,2s
2025-06-15 23:23:44,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,38s
2025-06-15 23:23:44,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:23:44,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m7s
2025-06-15 23:23:44,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m38s
2025-06-15 23:23:44,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m38s
2025-06-15 23:23:44,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m38s
2025-06-15 23:23:44,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m8s
2025-06-15 23:23:44,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m7s
2025-06-15 23:23:44,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m38s
2025-06-15 23:23:44,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,67s
2025-06-15 23:23:44,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m8s
2025-06-15 23:23:44,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m8s
2025-06-15 23:23:44,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m8s
2025-06-15 23:23:44,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m38s
2025-06-15 23:23:44,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m38s
2025-06-15 23:23:44,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:23:49,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m13s
2025-06-15 23:23:49,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m43s
2025-06-15 23:23:49,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:23:49,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m13s
2025-06-15 23:23:49,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,101s
2025-06-15 23:23:49,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m43s
2025-06-15 23:23:49,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,7s
2025-06-15 23:23:49,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,43s
2025-06-15 23:23:49,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:23:49,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m12s
2025-06-15 23:23:49,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m43s
2025-06-15 23:23:49,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m43s
2025-06-15 23:23:49,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m43s
2025-06-15 23:23:49,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m13s
2025-06-15 23:23:49,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m12s
2025-06-15 23:23:49,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m43s
2025-06-15 23:23:49,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,72s
2025-06-15 23:23:49,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m13s
2025-06-15 23:23:49,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m13s
2025-06-15 23:23:49,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m13s
2025-06-15 23:23:49,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m43s
2025-06-15 23:23:49,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m43s
2025-06-15 23:23:49,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:23:55,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m19s
2025-06-15 23:23:55,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m49s
2025-06-15 23:23:55,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:23:55,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m19s
2025-06-15 23:23:55,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,107s
2025-06-15 23:23:55,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m49s
2025-06-15 23:23:55,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,13s
2025-06-15 23:23:55,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,49s
2025-06-15 23:23:55,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:23:55,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m18s
2025-06-15 23:23:55,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m49s
2025-06-15 23:23:55,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m49s
2025-06-15 23:23:55,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m49s
2025-06-15 23:23:55,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m19s
2025-06-15 23:23:55,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m18s
2025-06-15 23:23:55,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m49s
2025-06-15 23:23:55,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,78s
2025-06-15 23:23:55,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m19s
2025-06-15 23:23:55,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m19s
2025-06-15 23:23:55,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m19s
2025-06-15 23:23:55,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m49s
2025-06-15 23:23:55,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m49s
2025-06-15 23:23:55,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:24:00,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m24s
2025-06-15 23:24:00,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m54s
2025-06-15 23:24:00,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:24:00,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m24s
2025-06-15 23:24:00,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,112s
2025-06-15 23:24:00,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m54s
2025-06-15 23:24:00,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,18s
2025-06-15 23:24:00,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,54s
2025-06-15 23:24:00,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:24:00,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m23s
2025-06-15 23:24:00,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m54s
2025-06-15 23:24:00,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m54s
2025-06-15 23:24:00,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m54s
2025-06-15 23:24:00,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m24s
2025-06-15 23:24:00,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m23s
2025-06-15 23:24:00,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m54s
2025-06-15 23:24:00,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,83s
2025-06-15 23:24:00,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m24s
2025-06-15 23:24:00,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m24s
2025-06-15 23:24:00,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m24s
2025-06-15 23:24:00,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m54s
2025-06-15 23:24:00,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m54s
2025-06-15 23:24:00,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:24:06,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m29s
2025-06-15 23:24:06,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,5m59s
2025-06-15 23:24:06,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:24:06,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m29s
2025-06-15 23:24:06,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,117s
2025-06-15 23:24:06,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,2m59s
2025-06-15 23:24:06,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,23s
2025-06-15 23:24:06,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,59s
2025-06-15 23:24:06,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:24:06,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m28s
2025-06-15 23:24:06,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,8m59s
2025-06-15 23:24:06,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,3m59s
2025-06-15 23:24:06,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,7m59s
2025-06-15 23:24:06,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m29s
2025-06-15 23:24:06,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m28s
2025-06-15 23:24:06,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,9m59s
2025-06-15 23:24:06,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,88s
2025-06-15 23:24:06,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m29s
2025-06-15 23:24:06,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m29s
2025-06-15 23:24:06,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m29s
2025-06-15 23:24:06,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,4m59s
2025-06-15 23:24:06,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,6m59s
2025-06-15 23:24:06,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,10m
2025-06-15 23:24:11,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m35s
2025-06-15 23:24:11,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,6m5s
2025-06-15 23:24:11,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:24:11,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m35s
2025-06-15 23:24:11,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,2m3s
2025-06-15 23:24:11,browser-sandbox-browser-41cb9235-20250615175407,Running,1/1,,0,4s
2025-06-15 23:24:11,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,3m5s
2025-06-15 23:24:11,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,29s
2025-06-15 23:24:11,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,65s
2025-06-15 23:24:11,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:24:11,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m34s
2025-06-15 23:24:11,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,9m5s
2025-06-15 23:24:11,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,4m5s
2025-06-15 23:24:11,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,8m5s
2025-06-15 23:24:11,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m35s
2025-06-15 23:24:11,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m34s
2025-06-15 23:24:11,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,10m
2025-06-15 23:24:11,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,94s
2025-06-15 23:24:11,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m35s
2025-06-15 23:24:11,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m35s
2025-06-15 23:24:11,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m35s
2025-06-15 23:24:11,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,5m5s
2025-06-15 23:24:11,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,7m5s
2025-06-15 23:24:11,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,11m
2025-06-15 23:24:16,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m40s
2025-06-15 23:24:16,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,6m10s
2025-06-15 23:24:16,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:24:16,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m40s
2025-06-15 23:24:16,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,2m8s
2025-06-15 23:24:16,browser-sandbox-browser-41cb9235-20250615175407,Running,1/1,,0,9s
2025-06-15 23:24:16,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,3m10s
2025-06-15 23:24:16,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,34s
2025-06-15 23:24:16,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,70s
2025-06-15 23:24:16,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:24:16,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m39s
2025-06-15 23:24:16,browser-sandbox-browser-7c9d9fdf-20250615174506,Running,1/1,,0,9m10s
2025-06-15 23:24:16,browser-sandbox-browser-86418c25-20250615175006,Running,1/1,,0,4m10s
2025-06-15 23:24:16,browser-sandbox-browser-86a3edb0-20250615174606,Running,1/1,,0,8m10s
2025-06-15 23:24:16,browser-sandbox-browser-8f7bfe92-20250615174536,Running,1/1,,0,8m40s
2025-06-15 23:24:16,browser-sandbox-browser-948aeb8c-20250615175037,Running,1/1,,0,3m39s
2025-06-15 23:24:16,browser-sandbox-browser-9d8e24d9-20250615174406,Running,1/1,,0,10m
2025-06-15 23:24:16,browser-sandbox-browser-a4c37838-20250615175237,Running,1/1,,0,99s
2025-06-15 23:24:16,browser-sandbox-browser-a68eaadf-20250615174436,Running,1/1,,0,9m40s
2025-06-15 23:24:16,browser-sandbox-browser-c66fc520-20250615174836,Running,1/1,,0,5m40s
2025-06-15 23:24:16,browser-sandbox-browser-c8fab60a-20250615174736,Running,1/1,,0,6m40s
2025-06-15 23:24:16,browser-sandbox-browser-cec44e6b-20250615174906,Running,1/1,,0,5m10s
2025-06-15 23:24:16,browser-sandbox-browser-db03ec5c-20250615174706,Running,1/1,,0,7m10s
2025-06-15 23:24:16,browser-sandbox-browser-f28363a8-20250615174306,Running,1/1,,0,11m
2025-06-15 23:24:22,browser-sandbox-browser-0bdfabc4-20250615174936,Running,1/1,,0,4m46s
2025-06-15 23:24:22,browser-sandbox-browser-19b85da0-20250615174806,Running,1/1,,0,6m16s
2025-06-15 23:24:22,browser-sandbox-browser-2a88aeed-20250615174336,Running,1/1,,0,10m
2025-06-15 23:24:22,browser-sandbox-browser-2b795404-20250615174636,Running,1/1,,0,7m46s
2025-06-15 23:24:22,browser-sandbox-browser-3bc2d3b1-20250615175208,Running,1/1,,0,2m14s
2025-06-15 23:24:22,browser-sandbox-browser-41cb9235-20250615175407,Running,1/1,,0,15s
2025-06-15 23:24:22,browser-sandbox-browser-53a313b8-20250615175106,Running,1/1,,0,3m16s
2025-06-15 23:24:22,browser-sandbox-browser-5c3030d0-20250615175342,Running,1/1,,0,40s
2025-06-15 23:24:22,browser-sandbox-browser-5d384e25-20250615175306,Running,1/1,,0,76s
2025-06-15 23:24:22,browser-sandbox-browser-5ec4cf6b-20250615174237,Running,1/1,,0,11m
2025-06-15 23:24:22,browser-sandbox-browser-7b8e7df8-20250615175137,Running,1/1,,0,2m45s
